Stg1 Pressure 1,Stg2 Pressure 2,Temp1-Temp2
35.31136,8.31016,16.9
34.31013,8.4242,24.8
28.40049,8.22458,28.1
29.42613,8.41537,31.4
30.37851,8.45384,32.7
31.40415,8.19729,33.2
31.28205,8.4032,33.6
33.21124,8.45502,33.9
43.93163,8.0646,34
39.24298,8.22438,34
38.58364,8.40595,34
33.67522,8.43657,34.1
42.39317,8.13507,34.2
40.92796,8.49821,34.3
37.99756,8.42263,34.5
34.04152,8.28484,34.6
35.53114,8.41832,34.7
32.25885,8.47269,34.7
35.65324,8.42833,34.8
39.8779,8.30643,34.9
38.02198,8.19258,34.9
35.62882,8.41714,34.9
33.16239,8.45404,34.9
39.31624,8.45502,35
40.17094,8.15784,35
37.16728,8.43598,35
34.62759,8.45698,35.1
40.21978,8.39712,35.1
35.3602,8.47347,35.3
37.75336,8.45973,35.3
37.53358,8.4507,35.4
40.29304,8.43166,35.4
40.87912,8.48977,35.4
37.0696,8.45561,35.4
34.62759,8.39437,35.4
35.84859,8.41517,35.5
36.23932,8.40085,35.5
35.06715,8.35354,35.5
36.53236,8.4511,35.5
35.116,8.41635,35.5
34.35897,8.48133,35.5
34.77412,8.41969,35.6
36.06838,8.49193,35.6
35.4823,8.35491,35.6
38.73016,8.46601,35.6
33.04029,8.4032,35.6
41.44078,8.46228,35.6
42.51526,8.13919,35.6
38.87668,8.40438,35.7
36.55678,8.32135,35.7
35.6044,8.37592,35.7
34.13919,8.47347,35.7
34.79854,8.32763,35.7
35.3602,8.35864,35.7
38.5348,8.42322,35.7
38.43712,8.48015,35.7
34.9939,8.4032,35.8
34.65202,8.41046,35.8
34.28571,8.13605,35.8
37.87546,8.38239,35.8
37.11844,8.17138,35.8
34.92064,8.41439,35.8
35.55556,8.45345,35.9
37.38706,8.41714,35.9
35.31136,8.4507,35.9
36.92308,8.18885,35.9
37.48474,8.42048,35.9
38.2906,8.41675,35.9
36.04396,8.41498,36
37.77778,8.45797,36
35.94628,8.4297,36
37.09402,8.19022,36
35.99512,8.39456,36
38.21734,8.42224,36.1
34.57875,8.48368,36.1
35.94628,8.47524,36.1
30.37851,8.43736,36.2
33.91941,8.44521,36.2
39.29182,8.40634,36.2
35.9707,8.47622,36.2
35.21368,8.435,36.2
35.70208,8.3926,36.3
36.06838,8.34863,36.3
35.16484,8.36316,36.3
35.28694,8.43951,36.3
33.13797,8.41439,36.3
39.41392,8.47681,36.3
36.14164,8.3398,36.3
38.26618,8.44717,36.3
39.6337,8.4193,36.3
35.67766,8.48211,36.3
36.11722,8.46758,36.3
34.82296,8.4617,36.4
36.06838,8.38632,36.4
35.75092,8.38396,36.4
34.82296,8.39398,36.4
37.89988,8.39083,36.4
37.0696,8.4458,36.4
33.57753,8.46268,36.5
35.14042,8.4666,36.5
34.9939,8.43166,36.5
36.5812,8.42577,36.5
35.99512,8.45934,36.5
40.92796,8.24715,36.5
38.2906,8.42538,36.5
37.65568,8.40104,36.5
38.19292,8.12977,36.5
37.72894,8.36159,36.5
36.77656,8.47975,36.6
37.24054,8.4297,36.6
37.48474,8.4721,36.6
36.9475,8.40968,36.6
34.79854,8.44108,36.6
36.60562,8.44796,36.6
35.26252,8.43245,36.6
35.89744,8.43009,36.7
37.97314,8.38809,36.7
32.67399,8.45797,36.7
35.99512,8.42106,36.7
36.41026,8.41537,36.7
36.16606,8.43049,36.7
33.23566,8.42028,36.7
36.67888,8.43382,36.7
37.58242,8.43834,36.7
37.48474,8.48662,36.8
34.2613,8.46935,36.8
37.50916,8.40261,36.8
37.60684,8.29033,36.8
36.48352,8.38593,36.8
36.75214,8.31919,36.8
35.16484,8.39653,36.8
38.2906,8.37513,36.9
35.67766,8.3928,36.9
39.24298,8.40124,36.9
40.17094,8.34412,36.9
35.14042,8.36944,36.9
33.30891,8.38318,37
39.6337,8.19553,37
35.9707,8.34353,37
36.14164,8.48996,37
36.2149,8.46503,37
35.16484,8.3559,37
34.16362,8.35452,37
36.63004,8.33273,37
39.80464,8.45875,37
35.21368,8.41871,37
35.75092,8.36728,37.1
38.46154,8.42558,37.1
40.83028,8.46425,37.1
35.55556,8.47524,37.1
39.70696,8.18375,37.1
32.94262,8.17668,37.1
32.52747,8.4615,37.1
35.04274,8.37101,37.1
37.53358,8.41144,37.1
38.92552,8.44835,37.2
34.72527,8.46268,37.2
34.82296,8.44324,37.2
39.80464,8.45777,37.2
33.72406,8.45267,37.2
39.04762,8.35511,37.3
33.52869,8.45384,37.3
31.74603,8.45581,37.3
34.79854,8.40595,37.3
34.06594,8.36061,37.3
35.26252,8.48211,37.3
33.57753,8.47858,37.4
38.0464,8.37317,37.4
34.16362,8.34412,37.4
38.5348,8.41321,37.4
33.82174,8.35354,37.4
34.2613,8.33018,37.4
40.68376,8.17864,37.4
36.43468,8.41537,37.4
33.08913,8.44403,37.4
35.26252,8.42048,37.5
33.84615,8.27757,37.5
34.13919,8.45816,37.5
35.18925,8.34431,37.5
36.0928,8.45208,37.5
33.67522,8.3343,37.5
39.21856,8.46444,37.5
35.55556,8.41419,37.5
34.21246,8.39378,37.5
35.84859,8.37356,37.5
34.21246,8.35354,37.5
35.33578,8.40438,37.5
34.67643,8.43814,37.5
38.5348,8.35982,37.5
35.06715,8.37474,37.5
32.25885,8.40693,37.6
32.82051,8.45404,37.6
35.16484,8.31094,37.6
36.11722,8.46287,37.6
35.3602,8.4138,37.6
32.77168,8.39201,37.6
35.3602,8.47779,37.6
37.60684,8.37945,37.6
34.11478,8.47406,37.7
37.0696,8.39731,37.7
37.63126,8.43147,37.7
34.40781,8.27169,37.7
35.14042,8.30977,37.7
35.16484,8.38553,37.7
35.3602,8.38769,37.8
37.82662,8.50154,37.8
38.6569,8.44128,37.8
38.24176,8.4774,37.8
34.96947,8.39574,37.8
35.43346,8.46091,37.8
40.83028,8.30584,37.8
35.33578,8.38907,37.8
37.02076,8.20455,37.8
31.52625,7.50242,37.8
33.60196,8.44599,37.8
32.82051,8.32625,37.9
38.80342,8.39594,37.9
35.116,8.38102,37.9
36.84982,8.25834,37.9
33.87057,8.45581,37.9
37.48474,8.45011,37.9
36.01954,8.44737,37.9
34.40781,8.08364,37.9
33.26007,8.30918,37.9
40.56166,8.08541,38
34.13919,8.33666,38
35.57998,8.43579,38
32.67399,8.18728,38
34.0171,8.36061,38
35.04274,8.33077,38
34.55434,8.45247,38
37.53358,8.46837,38
35.6044,8.33784,38
37.94872,8.33882,38
35.26252,8.23989,38.1
35.21368,8.35923,38.1
33.99268,8.28484,38.1
34.21246,8.48702,38.1
36.99634,8.37199,38.1
36.72772,8.2762,38.1
34.18803,8.36905,38.1
41.36752,8.40065,38.1
34.9939,8.42048,38.1
36.14164,8.45365,38.1
33.74847,8.49722,38.1
35.16484,8.38396,38.1
33.13797,8.44266,38.1
37.48474,8.38907,38.1
34.9939,8.47151,38.1
39.95116,8.3767,38.1
35.75092,8.29485,38.1
33.69963,8.39555,38.1
39.12088,8.36492,38.1
34.16362,8.47995,38.1
34.74969,8.42813,38.2
37.16728,8.37494,38.2
33.26007,8.43657,38.2
35.09158,8.32979,38.2
35.14042,8.40163,38.2
34.31013,8.3979,38.2
35.16484,8.4138,38.2
33.74847,8.39712,38.2
34.21246,8.47347,38.3
35.40903,8.35609,38.3
35.7265,8.48447,38.3
37.89988,8.38298,38.3
35.16484,8.3716,38.3
37.3138,8.35904,38.3
33.43102,8.47524,38.3
40.34188,8.46464,38.3
36.16606,8.40242,38.3
35.116,8.40634,38.3
33.35775,8.43775,38.3
33.26007,8.43304,38.3
37.16728,8.46817,38.3
36.48352,8.39947,38.4
32.84493,8.31153,38.4
32.35653,8.36335,38.4
34.62759,8.28229,38.4
35.2381,8.32429,38.4
38.80342,8.25402,38.4
34.67643,8.35943,38.4
33.2845,8.37238,38.4
36.23932,8.37219,38.4
39.09646,8.38632,38.4
36.0928,8.40497,38.4
36.0928,8.43912,38.4
35.6044,8.29995,38.4
37.94872,8.38495,38.4
37.09402,8.41616,38.4
32.50306,8.38789,38.4
33.96825,8.39083,38.4
36.337,8.40006,38.5
33.08913,8.37611,38.5
33.33334,8.47387,38.5
33.99268,8.19827,38.5
38.26618,8.47347,38.5
37.04518,8.41537,38.5
40.3663,8.33175,38.5
34.60318,8.37592,38.5
34.31013,8.29681,38.5
38.80342,8.39476,38.5
37.50916,8.35511,38.5
35.33578,8.382,38.6
40.70818,8.40222,38.6
31.69719,8.45856,38.6
33.43102,8.30113,38.6
34.84738,8.39437,38.6
35.50671,8.43363,38.6
32.25885,8.40536,38.6
34.09035,8.45954,38.6
33.91941,8.36218,38.6
35.79976,8.33018,38.6
35.87302,8.25755,38.6
36.19048,8.34235,38.6
32.67399,8.39358,38.7
37.3138,8.35197,38.7
31.74603,8.42735,38.7
40.07326,8.39025,38.7
34.79854,8.43893,38.7
34.13919,8.32547,38.7
32.77168,8.46052,38.7
35.26252,8.2923,38.7
33.60196,8.35786,38.7
35.06715,8.30231,38.7
36.04396,8.3449,38.7
36.48352,8.41282,38.7
39.1453,8.33489,38.7
35.75092,8.3343,38.7
35.09158,8.45659,38.7
33.2845,8.3871,38.7
32.60073,8.47465,38.7
36.0928,8.36335,38.8
35.38462,8.34765,38.8
34.52991,8.34745,38.8
34.11478,8.32174,38.8
36.31258,8.2442,38.8
34.60318,8.46621,38.8
37.38706,8.36159,38.8
39.31624,8.25363,38.8
35.33578,8.45463,38.8
40.90355,8.32586,38.8
36.14164,8.41949,38.8
36.63004,8.35864,38.8
35.9707,8.36178,38.8
35.28694,8.50351,38.8
36.0928,8.39574,38.8
32.13675,8.4299,38.8
36.0928,8.44874,38.9
35.84859,8.4242,38.9
38.43712,8.39358,38.9
34.40781,8.33509,38.9
35.16484,8.42872,38.9
34.96947,8.39044,38.9
36.06838,8.40889,38.9
34.06594,8.36414,38.9
34.3834,8.35668,38.9
36.65446,8.41105,38.9
36.41026,8.36061,38.9
33.72406,8.36924,38.9
36.2149,8.33254,38.9
31.81929,8.4511,38.9
32.69841,8.35354,38.9
34.72527,8.43304,38.9
42.63736,7.76525,38.9
35.33578,8.41655,38.9
38.07082,8.35177,38.9
37.33822,8.47995,38.9
35.77534,8.42793,38.9
34.48108,8.35354,38.9
33.91941,8.3875,38.9
34.33456,8.46209,39
34.43224,8.36218,39
37.97314,8.31821,39
36.5812,8.27188,39
34.16362,8.4083,39
41.24542,8.38966,39
36.16606,8.41832,39
34.62759,8.41989,39
34.62759,8.46366,39
39.7558,8.43598,39
35.21368,8.45306,39
35.43346,8.34451,39
35.09158,8.34588,39.1
35.79976,8.34078,39.1
33.7729,8.32429,39.1
33.99268,8.41792,39.1
39.12088,8.35766,39.1
34.72527,8.10327,39.1
34.94506,8.39712,39.1
39.58486,8.32822,39.1
36.7033,8.37808,39.1
33.33334,8.48191,39.1
35.116,8.20318,39.1
38.80342,8.32488,39.2
36.72772,8.44305,39.2
33.04029,8.37121,39.2
38.87668,8.1702,39.2
33.96825,8.48741,39.2
35.77534,8.30172,39.2
34.16362,8.23203,39.2
40.53724,8.3135,39.2
36.337,8.28405,39.2
33.2845,8.45659,39.2
32.60073,8.33764,39.2
32.5519,8.41321,39.2
34.84738,8.31624,39.2
36.14164,8.32233,39.2
32.50306,8.38377,39.2
32.5519,8.38534,39.3
38.1685,8.2658,39.3
39.97558,8.33352,39.3
35.18925,8.3716,39.3
33.16239,8.43461,39.3
40.17094,8.29681,39.3
38.43712,8.16745,39.3
36.19048,8.34844,39.3
34.04152,8.45463,39.3
